t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,102.9095687866211,129.2794189453125,119.13175964355469,202.982177734375,203.26473999023438,200.22369384765625,0.44336482882499695,0.49123698472976685,0.46570566296577454,45.62648391723633,63.506832122802734,55.4803352355957,-43.53261184692383,-59.5479736328125,-54.629844665527344,10.481637954711914,18.28115463256836,1.5011341571807861,0.9541084170341492,0.9376624822616577,0.9846704006195068,5.169726371765137,5.215173244476318,4.169153690338135,nan
0.050,0,102.96390533447266,129.20266723632812,119.1241226196289,202.9217529296875,203.28599548339844,200.22683715820312,0.44510021805763245,0.4935745894908905,0.46860426664352417,45.82925796508789,63.77115249633789,55.82207107543945,-43.54098129272461,-59.637393951416016,-54.95610427856445,10.928627014160156,19.047103881835938,2.0251102447509766,0.9500695466995239,0.9351782202720642,0.984486997127533,5.158478736877441,5.229656219482422,4.33441162109375,nan
0.100,0,102.96390533447266,129.20266723632812,119.1241226196289,202.9217529296875,203.28599548339844,200.22683715820312,0.44510021805763245,0.4935745894908905,0.46860426664352417,45.82925796508789,63.77115249633789,55.82207107543945,-43.54098129272461,-59.637393951416016,-54.95610427856445,10.928627014160156,19.047103881835938,2.0251102447509766,0.9500695466995239,0.9351782202720642,0.984486997127533,5.158478736877441,5.229656219482422,4.33441162109375,nan
0.150,0,102.96390533447266,129.20266723632812,119.1241226196289,202.9217529296875,203.28599548339844,200.22683715820312,0.44510021805763245,0.4935745894908905,0.46860426664352417,45.82925796508789,63.77115249633789,55.82207107543945,-43.54098129272461,-59.637393951416016,-54.95610427856445,10.928627014160156,19.047103881835938,2.0251102447509766,0.9500695466995239,0.9351782202720642,0.984486997127533,5.158478736877441,5.229656219482422,4.33441162109375,nan
0.200,0,102.96390533447266,129.20266723632812,119.1241226196289,202.9217529296875,203.28599548339844,200.22683715820312,0.44510021805763245,0.4935745894908905,0.46860426664352417,45.82925796508789,63.77115249633789,55.82207107543945,-43.54098129272461,-59.637393951416016,-54.95610427856445,10.928627014160156,19.047103881835938,2.0251102447509766,0.9500695466995239,0.9351782202720642,0.984486997127533,5.158478736877441,5.229656219482422,4.33441162109375,nan
0.250,0,102.94405364990234,129.19125366210938,119.06922912597656,202.9027099609375,203.168212890625,200.1994171142578,0.44540703296661377,0.4905093312263489,0.46518567204475403,45.85200500488281,63.36951446533203,55.38929748535156,-43.67255783081055,-59.4509391784668,-54.3994140625,10.201258659362793,17.631362915039062,1.283748984336853,0.9524677991867065,0.9381631016731262,0.9821286201477051,5.026000499725342,5.2184929847717285,4.160307884216309,nan
0.300,0,102.94405364990234,129.19125366210938,119.06922912597656,202.9027099609375,203.168212890625,200.1994171142578,0.44540703296661377,0.4905093312263489,0.46518567204475403,45.85200500488281,63.36951446533203,55.38929748535156,-43.67255783081055,-59.4509391784668,-54.3994140625,10.201258659362793,17.631362915039062,1.283748984336853,0.9524677991867065,0.9381631016731262,0.9821286201477051,5.026000499725342,5.2184929847717285,4.160307884216309,nan
0.350,0,102.94405364990234,129.19125366210938,119.06922912597656,202.9027099609375,203.168212890625,200.1994171142578,0.44540703296661377,0.4905093312263489,0.46518567204475403,45.85200500488281,63.36951446533203,55.38929748535156,-43.67255783081055,-59.4509391784668,-54.3994140625,10.201258659362793,17.631362915039062,1.283748984336853,0.9524677991867065,0.9381631016731262,0.9821286201477051,5.026000499725342,5.2184929847717285,4.160307884216309,nan
0.400,0,102.94405364990234,129.19125366210938,119.06922912597656,202.9027099609375,203.168212890625,200.1994171142578,0.44540703296661377,0.4905093312263489,0.46518567204475403,45.85200500488281,63.36951446533203,55.38929748535156,-43.67255783081055,-59.4509391784668,-54.3994140625,10.201258659362793,17.631362915039062,1.283748984336853,0.9524677991867065,0.9381631016731262,0.9821286201477051,5.026000499725342,5.2184929847717285,4.160307884216309,nan
0.450,0,102.92302703857422,129.21868896484375,119.10054779052734,202.9439697265625,203.2091064453125,200.185791015625,0.44676142930984497,0.49482202529907227,0.46581336855888367,45.98204040527344,63.94025421142578,55.4786262512207,-43.663692474365234,-59.8189697265625,-54.604557037353516,11.258759498596191,18.874910354614258,2.164724111557007,0.9495814442634583,0.9355447888374329,0.9842449426651001,5.252323150634766,5.2257890701293945,4.293219566345215,nan
